method,prior_name,weight,mean_brier,std_brier,mean_logloss,mean_bias,folds
blend,linear_recent_3y,1.0,0.2500152728548315,0.0006740329374096835,0.693178441488822,0.0039684971871330466,3
prior,linear_recent_3y,1.0,0.2500152728548315,0.0006740329374096835,0.693178441488822,0.0039684971871330466,3
blend,linear_recent_3y,0.3,0.25003187845315505,0.0012695397870600771,0.6932301455030366,0.013480349008000972,3
blend,exp_smoothing_0.65,0.6,0.25005137043280795,0.0009985922073923285,0.6932542921710968,0.01989228621059458,3
blend,exp_smoothing_0.65,0.65,0.2500543350354917,0.0009718832706732605,0.6932590613605781,0.02008690531720832,3
blend,exp_smoothing_0.65,0.5,0.2500608029779317,0.0010670899223053458,0.6932765188796609,0.01950304799736713,3
blend,exp_smoothing_0.65,0.7,0.2500624202216725,0.0009499000345965924,0.6932743550201071,0.020281524423822028,3
blend,exp_smoothing_0.65,0.75,0.2500756259913504,0.000833995134779467,0.6933001338005701,0.020476143530435698,3
blend,prev_year_rate,0.3,0.25008400041836487,0.0012561480133877292,0.6933347929768172,0.016955468553956504,3
blend,linear_all_history,0.2,0.25008515571151574,0.0013256545439233368,0.6933443620800285,0.014131852886699362,3
blend,exp_smoothing_0.65,0.4,0.2500907178570438,0.001157180095004774,0.6933414912304371,0.019113809784139752,3
blend,exp_smoothing_0.65,0.8,0.2500939523445255,0.0008222556062219819,0.693336364919273,0.02067076263704944,3
blend,recency_weighted_linear,0.2,0.25011314038535165,0.0013723452811820853,0.693402070170039,0.014921795704942101,3
blend,linear_recent_2y,0.2,0.2501159044343421,0.0013852503926025082,0.6934083752640984,0.014972300508958333,3
blend,exp_smoothing_0.65,0.85,0.25011739928119764,0.000910387223483933,0.6933830219616146,0.02086538174366322,3
blend,linear_recent_3y,0.2,0.2501345721682138,0.0014155069449146138,0.6934461735241215,0.014839184982410658,3
blend,exp_smoothing_0.65,0.3,0.2501411150701443,0.0012704187415918133,0.6934497900160302,0.018724571570912302,3
blend,exp_smoothing_0.65,0.9,0.25014596680136686,0.0009055806051915788,0.6934400847161258,0.021060000850276855,3
blend,prev_year_rate,0.2,0.25017456773278085,0.0013998698747946052,0.6935266066521434,0.017155931346381048,3
blend,exp_smoothing_0.65,0.2,0.25021199461723326,0.0014079589082944667,0.6936021355746659,0.01833533335768489,3
blend,exp_smoothing_0.65,1.0,0.2502184635921966,0.0009082550931214118,0.69358537675569,0.021449239063504228,3
