candidate_name,prediction_mode,valid_year,deviation_bucket,n,actual_rate,prediction_mean,brier,baseline_brier,skill_gain_vs_baseline
B_SEASON_CENTERED,platt,2024,005_010,63718,0.48844910386390034,0.48909965498125296,0.24971866236412532,0.2498670767155528,0.00014841435142748383
B_SEASON_CENTERED,platt,2024,010_020,58393,0.48307160104807084,0.4907570929111085,0.24942244392011645,0.24973524245562237,0.0003127985355059204
B_SEASON_CENTERED,platt,2024,020_040,21136,0.48154806964420893,0.5026499770328984,0.2500391190983954,0.24969789172946044,-0.00034122736893493766
B_SEASON_CENTERED,platt,2024,040_plus,7374,0.4698942229454841,0.5327702105099026,0.2530301219425134,0.2494121873221385,-0.0036179346203749074
B_SEASON_CENTERED,v2_strength,2022,0_005,89913,0.5304238541701423,0.5117276581170619,0.2494113845336168,0.24943353515237382,2.2150618757016405e-05
B_SEASON_CENTERED,v2_strength,2022,005_010,60961,0.5295024687915224,0.5117620472686466,0.24936950053982948,0.2494546767176508,8.51761778213056e-05
B_SEASON_CENTERED,v2_strength,2022,010_020,68126,0.526759240231336,0.512284769540717,0.24884081917378092,0.24951762122167775,0.0006768020478968295
B_SEASON_CENTERED,v2_strength,2022,020_040,28472,0.5280977802753583,0.5093864448126816,0.24679183350539474,0.2494869078715712,0.0026950743661764698
B_SEASON_CENTERED,v2_strength,2023,0_005,56142,0.5062341918706138,0.527611616441127,0.25041879090396213,0.25042077145518427,1.980551222136029e-06
B_SEASON_CENTERED,v2_strength,2023,005_010,41327,0.5048273525782176,0.5266404342913286,0.2504428004169005,0.25049863530853284,5.583489163235589e-05
B_SEASON_CENTERED,v2_strength,2023,010_020,61144,0.5015537092764621,0.5266016251313397,0.25051984448313824,0.2506798205251678,0.00015997604202955262
B_SEASON_CENTERED,v2_strength,2023,020_040,86912,0.4924636413843888,0.5270193342155374,0.2507919425253119,0.2511829254050943,0.00039098287978239776
B_SEASON_CENTERED,v2_strength,2024,0_005,180243,0.4912978590014591,0.4874209232052627,0.2499104044002937,0.24993691647912808,2.6512078834389774e-05
B_SEASON_CENTERED,v2_strength,2024,005_010,51080,0.4773884103367267,0.48571599203363214,0.2493078408790264,0.2495959139853019,0.0002880731062754882
B_SEASON_CENTERED,v2_strength,2024,010_020,20879,0.4620910963168734,0.49420652624462397,0.24955713013077416,0.2492208867390503,-0.00033624339172386164
