valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.01,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2491474445702437,1.6163376077960034e-05,6.487053310546931,0.5324856858143385,0.6914413592908017,0.5116235776592755,0.006744068526332795
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.01,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506204210877684,-0.0006204229166566211,0.0,0.5154708686332126,0.6943902745481069,0.5274853272106375,0.007923291755131791
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.01,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976236015962405,4.45665971639253e-05,17.84041689417017,0.5106875170195614,0.6926717437568913,0.4874960132351669,0.004242850920485581
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.0125,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24907119510633,9.241283999167349e-05,37.08922051392929,0.5310050617763022,0.6912886175936602,0.51163785066312,0.008733026064087662
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.0125,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506016276581681,-0.0006016294870563599,0.0,0.5145446200092612,0.6943530792339235,0.5274099987469676,0.010176153005474184
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.0125,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497623256187334,4.4601138054573e-05,17.854243928951043,0.5106697589369344,0.6926716375368159,0.48753964542143297,0.0052041940100725735
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.0125,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24909647057828924,6.713736803243275e-05,26.94509386254209,0.5324856858143385,0.6913392655383165,0.5116147014021932,0.007709903973353205
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.0125,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506015267811687,-0.0006015286100569395,0.0,0.5154708686332126,0.6943527107535231,0.5274339340208118,0.009387973019168428
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.0125,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497633844314562,4.354232533176905e-05,17.43039150157828,0.5106875170195614,0.6926737810511263,0.4875359170594998,0.004597258264662972
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.015,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2490188780336699,0.00014472991265176982,58.08629672875406,0.531627808053311,0.6911837888696983,0.5116199054577449,0.009746920631476856
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.015,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505881458052938,-0.0005881476341820513,0.0,0.5148684198822828,0.6943264856201755,0.5273528506382616,0.01173424534964832
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.015,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497681429887213,3.878376806668027e-05,15.525497459259865,0.5106690511089511,0.6926832657898917,0.48763704986120604,0.005506754164571242
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.015,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24905450941844454,0.00010909852787713281,43.785899865696415,0.5324856858143385,0.6912552016593677,0.5116030593985351,0.008494085142525132
